No.,Object Name,RA,Dec,Object Type,cz (Velocity),Redshift (z),z flag,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra
493,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216432-1159444</a>",184.179917,-11.995667,G,238275,0.794800,UUN,4,0,25,3,2,0,0,0,0,0
494,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216432-1202407</a>",184.179917,-12.044639,G,95754,0.319400,UUN,4,0,25,3,2,0,0,0,0,0
495,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216434-1202128</a>",184.180708,-12.036889,G,235007,0.783900,UUN,6,0,26,3,2,0,0,0,0,0
496,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J121643.46-120350.1</a>",184.181375,-12.063944,G,200651,0.669300,UUN,6,0,49,5,2,0,0,0,0,0
497,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216438-1202155</a>",184.182333,-12.037639,G,240673,0.802800,UUN,8,0,28,3,2,0,0,0,0,0
498,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216438-1158155</a>",184.182375,-11.970972,G,196604,0.655800,UUN,4,0,25,3,2,0,0,0,0,0
499,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216438-1202111</a>",184.182417,-12.036417,G,237226,0.791300,UUN,5,0,18,2,2,0,0,0,0,0
500,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J121643.73-120053.5</a>",184.182500,-12.014889,G,238185,0.794500,UUN,10,0,40,4,2,0,0,0,0,0
501,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216439-1158425</a>",184.182792,-11.978472,G,238515,0.795600,UUN,4,0,25,3,2,0,0,0,0,0
502,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216439-1200233</a>",184.183000,-12.006472,G,234767,0.783100,UUN,5,0,18,2,2,0,0,0,0,0
503,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216440-1157516</a>",184.183333,-11.964333,G,237346,0.791700,UUN,5,0,17,2,2,0,0,0,0,0
504,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216443-1201384</a>",184.184708,-12.027333,G,235667,0.786100,UUN,5,0,18,2,2,0,0,0,0,0
505,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J121644.38-120142.6</a>",184.184792,-12.028583,G,237376,0.791800,UUN,10,0,30,3,2,0,0,0,0,0
506,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216445-1201533</a>",184.185292,-12.031472,G,200951,0.670300,UUN,7,0,28,3,2,0,0,0,0,0
507,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J121644.47-120335.9</a>",184.185458,-12.059972,G,70271,0.234400,UUN,6,0,45,5,2,0,0,0,0,0
508,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216446-1202358</a>",184.185875,-12.043278,G,200801,0.669800,UUN,8,0,17,2,2,0,0,0,0,0
509,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216447-1202337</a>",184.186125,-12.042694,G,201101,0.670800,UUN,5,0,17,2,2,0,0,0,0,0
510,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J121644.69-115916.7</a>",184.186417,-11.987833,G,239774,0.799800,UUN,5,0,39,4,2,0,0,0,0,0
511,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216449-1200435</a>",184.186958,-12.012083,G,234558,0.782400,UUN,5,0,26,3,2,0,0,0,0,0
512,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216449-1202036</a>",184.187125,-12.034333,G,237975,0.793800,UUN,8,0,28,4,2,0,0,0,0,0
513,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216449-1202139</a>",184.187125,-12.037194,G,200591,0.669100,UUN,8,0,27,3,2,0,0,0,0,0
514,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J121645.07-115849.3</a>",184.187875,-11.980361,G,238905,0.796900,UUN,6,0,39,4,2,0,0,0,0,0
515,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216451-1200359</a>",184.188000,-12.009972,G,236326,0.788300,UUN,5,0,26,3,2,0,0,0,0,0
516,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216452-1158200</a>",184.188250,-11.972222,G,69762,0.232700,UUN,5,0,25,3,2,0,0,0,0,0
517,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216452-1203134</a>",184.188500,-12.053722,G,237825,0.793300,UUN,6,0,27,3,2,0,0,0,0,0
518,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J121645.34-120000.6</a>",184.189042,-12.000472,G,239714,0.799600,UUN,10,0,40,4,2,0,0,0,0,0
519,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J121645.63-115838.6</a>",184.190000,-11.977306,G,237586,0.792500,UUN,5,0,39,4,2,0,0,0,0,0
520,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">2MASS J12164572-1200585</a>",184.190792,-12.016250,*,,,,3,0,32,3,0,0,0,0,0,0
521,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216459-1203294</a>",184.191292,-12.058167,G,67513,0.225200,UUN,4,0,25,3,2,0,0,0,0,0
522,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J121646.15-120225.7</a>",184.192417,-12.040361,G,235817,0.786600,UUN,7,0,40,4,2,0,0,0,0,0
523,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216462-1200310</a>",184.192500,-12.008611,G,238395,0.795200,UUN,6,0,28,3,2,0,0,0,0,0
524,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216462-1200073</a>",184.192625,-12.002028,G,235247,0.784700,UUN,10,0,28,3,2,0,0,0,0,0
525,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J121646.17-120339.1</a>",184.192625,-12.060750,*,,,,3,0,38,3,0,0,0,0,0,0
526,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216464-1203257</a>",184.193125,-12.057139,G,238815,0.796600,UUN,6,0,27,3,2,0,0,0,0,0
527,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216464-1159340</a>",184.193292,-11.992778,G,237915,0.793600,UUN,4,0,17,2,2,0,0,0,0,0
528,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216467-1159378</a>",184.194458,-11.993833,G,199932,0.666900,UUN,7,0,27,3,2,0,0,0,0,0
529,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J121646.75-120223.0</a>",184.195125,-12.039611,G,239444,0.798700,UUN,10,0,40,4,2,0,0,0,0,0
530,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J121646.91-115927.0</a>",184.195708,-11.990750,G,238965,0.797100,UUN,10,0,39,5,2,0,0,0,0,0
531,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216476-1158016</a>",184.198167,-11.967111,*,,,,3,0,16,1,0,0,0,0,0,0
532,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J121647.56-120228.0</a>",184.198375,-12.041111,G,162907,0.543400,UUN,6,0,39,4,2,0,0,0,0,0
533,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J121647.87-115910.0</a>",184.199583,-11.986056,*,,,,3,0,44,4,0,0,0,0,0,0
534,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216480-1200220</a>",184.200000,-12.006111,G,235637,0.786000,UUN,8,0,28,3,2,0,0,0,0,0
535,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216482-1203186</a>",184.200750,-12.055167,G,241003,0.803900,UUN,5,0,27,3,2,0,0,0,0,0
536,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J121648.26-115837.5</a>",184.201333,-11.976861,*,,,,3,0,38,3,0,0,0,0,0,0
537,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216484-1159103</a>",184.201750,-11.986194,G,81993,0.273500,UUN,4,0,27,3,2,0,0,0,0,0
538,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216488-1158307</a>",184.203500,-11.975194,G,45089,0.150400,UUN,4,0,17,2,2,0,0,0,0,0
539,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216489-1158579</a>",184.203875,-11.982750,G,322037,1.074200,UUN,4,0,25,3,2,0,0,0,0,0
540,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J121648.89-120009.3</a>",184.204000,-12.002528,G,235727,0.786300,UUN,10,0,40,4,2,0,0,0,0,0
541,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216490-1201531</a>",184.204292,-12.031417,G,239774,0.799800,UUN,7,0,26,3,2,0,0,0,0,0
542,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J121649.35-115755.5</a>",184.205958,-11.965333,*,,,,3,0,28,2,0,0,0,0,0,0
543,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216494-1159165</a>",184.205958,-11.987917,G,122375,0.408200,UUN,5,0,23,3,2,0,0,0,0,0
544,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216497-1159256</a>",184.206917,-11.990444,*,,,,3,0,23,2,0,0,0,0,0,0
545,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216498-1201358</a>",184.207375,-12.026611,G,236296,0.788200,UUN,8,0,28,3,2,0,0,0,0,0
546,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216498-1202509</a>",184.207375,-12.047472,*,,,,3,0,26,2,0,0,0,0,0,0
